Packet Loss (%),Average RTT,Average RTT Unit,Minimum RTT,Minimum RTT Unit,Maximum RTT,Maximum RTT Unit,RTT Standard Deviation,RTT Standard Deviation Unit,Download Speed,Download Speed Unit,Upload Speed,Upload Speed Unit,Latency,Latency Unit
0.0,17.475,ms,20.634,ms,26.262,ms,2.493,ms,941.000408,Mb/s,36.970648,Mb/s,26.346,ms
0.0,18.506,ms,21.403,ms,25.934,ms,2.468,ms,945.246256,Mb/s,36.573608,Mb/s,23.445,ms
0.0,19.006,ms,23.025,ms,26.361,ms,2.269,ms,944.144176,Mb/s,36.669816,Mb/s,21.467,ms
0.0,16.891,ms,20.7,ms,25.724,ms,2.478,ms,951.392992,Mb/s,36.606592,Mb/s,23.029,ms
0.0,18.016,ms,20.756,ms,23.768,ms,1.912,ms,955.18568,Mb/s,36.757032,Mb/s,20.74,ms
0.0,17.528,ms,21.369,ms,23.753,ms,1.837,ms,952.349616,Mb/s,37.08756,Mb/s,20.94,ms
0.0,19.511,ms,23.406,ms,27.62,ms,2.338,ms,947.699048,Mb/s,36.86192,Mb/s,23.988,ms
0.0,18.463,ms,20.483,ms,27.439,ms,2.466,ms,951.511912,Mb/s,36.789752,Mb/s,23.605,ms
0.0,16.344,ms,17.885,ms,20.204,ms,1.045,ms,941.444672,Mb/s,36.163032,Mb/s,19.994,ms
0.0,18.726,ms,21.826,ms,26.992,ms,2.422,ms,938.682248,Mb/s,36.649272,Mb/s,21.485,ms
0.0,17.773,ms,20.718,ms,23.771,ms,1.687,ms,942.306944,Mb/s,36.805824,Mb/s,26.266,ms
