Date,"Mean (mbps)","Standard Deviation","Sample Count","Agent Count",Min,Max,Median
"2023-04-28 21:00:00",815.798832,0,1,1,815.798832,815.798832,815.798832
"2023-04-28 23:00:00",873.634336,48.139832,2,1,825.494504,921.774168,873.634336
"2023-04-29 04:00:00",879.49174,41.908748,2,1,837.582992,921.400488,879.49174
"2023-04-29 10:00:00",931.010896,6.776008,2,1,924.234888,937.786904,931.010896
"2023-04-29 16:00:00",839.911596,15.446292,2,1,824.465304,855.357888,839.911596
"2023-04-29 18:00:00",845.440952,0,1,1,845.440952,845.440952,845.440952
"2023-04-29 19:00:00",829.68044,0,1,1,829.68044,829.68044,829.68044
"2023-04-29 20:00:00",841.033848,0,1,1,841.033848,841.033848,841.033848
"2023-04-29 21:00:00",814.461192,0,1,1,814.461192,814.461192,814.461192
"2023-04-29 22:00:00",826.427792,0,1,1,826.427792,826.427792,826.427792
"2023-04-29 23:00:00",816.49364,0,1,1,816.49364,816.49364,816.49364
"2023-04-30 04:00:00",924.153056,0,1,1,924.153056,924.153056,924.153056
"2023-04-30 10:00:00",834.839544,14.600088,2,1,820.239456,849.439632,834.839544
"2023-04-30 16:00:00",823.943988,1.055516,2,1,822.888472,824.999504,823.943988
"2023-04-30 18:00:00",825.50824,0,1,1,825.50824,825.50824,825.50824
"2023-04-30 19:00:00",827.012824,0,1,1,827.012824,827.012824,827.012824
"2023-04-30 20:00:00",838.36516,0,1,1,838.36516,838.36516,838.36516
"2023-04-30 21:00:00",827.952376,0,1,1,827.952376,827.952376,827.952376
"2023-04-30 23:00:00",868.912568,65.986904,2,1,802.925664,934.899472,868.912568
"2023-05-01 04:00:00",826.699056,6.605768,2,1,820.093288,833.304824,826.699056
"2023-05-01 10:00:00",819.497936,12.7438,2,1,806.754136,832.241736,819.497936
"2023-05-01 18:00:00",849.89644,0,1,1,849.89644,849.89644,849.89644
"2023-05-01 19:00:00",833.230696,0,1,1,833.230696,833.230696,833.230696
"2023-05-01 20:00:00",936.588544,0,1,1,936.588544,936.588544,936.588544
"2023-05-01 21:00:00",923.761736,0,1,1,923.761736,923.761736,923.761736
"2023-05-01 23:00:00",924.377416,0,1,1,924.377416,924.377416,924.377416
"2023-05-02 04:00:00",832.760704,8.538288,2,1,824.222416,841.298992,832.760704
"2023-05-02 10:00:00",819.609984,5.433448,2,1,814.176536,825.043432,819.609984
"2023-05-02 13:00:00",842.235872,0,1,1,842.235872,842.235872,842.235872
"2023-05-02 16:00:00",864.876616,0,1,1,864.876616,864.876616,864.876616
"2023-05-02 17:00:00",936.287704,0,1,1,936.287704,936.287704,936.287704
"2023-05-02 18:00:00",936.925656,0,1,1,936.925656,936.925656,936.925656
"2023-05-02 19:00:00",873.318388,61.53954,2,1,811.778848,934.857928,873.318388
"2023-05-02 20:00:00",627.842344,0,1,1,627.842344,627.842344,627.842344
"2023-05-02 21:00:00",932.712088,0,1,1,932.712088,932.712088,932.712088
"2023-05-02 22:00:00",805.787532,7.956676,2,1,797.830856,813.744208,805.787532
"2023-05-02 23:00:00",937.431584,0,1,1,937.431584,937.431584,937.431584
"2023-05-03 04:00:00",883.006168,54.231128,2,1,828.77504,937.237296,883.006168
"2023-05-03 05:00:00",810.565192,0,1,1,810.565192,810.565192,810.565192
"2023-05-03 10:00:00",895.561364,42.241516,2,1,853.319848,937.80288,895.561364
"2023-05-03 13:00:00",870.101496,0,1,1,870.101496,870.101496,870.101496
"2023-05-03 16:00:00",881.355944,53.866608,2,1,827.489336,935.222552,881.355944
