Packet Loss (%),Average RTT,Average RTT Unit,Minimum RTT,Minimum RTT Unit,Maximum RTT,Maximum RTT Unit,RTT Standard Deviation,RTT Standard Deviation Unit,Download Speed,Download Speed Unit,Upload Speed,Upload Speed Unit,Latency,Latency Unit
0.0,32.874,ms,33.53,ms,34.43,ms,0.56,ms,941.434856,Mb/s,41.649808,Mb/s,23.356,ms
0.0,32.649,ms,33.84,ms,35.347,ms,0.721,ms,945.489248,Mb/s,41.61592,Mb/s,19.839,ms
0.0,32.335,ms,34.647,ms,41.988,ms,2.774,ms,947.562248,Mb/s,41.739384,Mb/s,19.946,ms
0.0,31.176,ms,32.234,ms,32.845,ms,0.464,ms,950.267864,Mb/s,41.778392,Mb/s,18.415,ms
0.0,32.803,ms,34.123,ms,34.926,ms,0.57,ms,950.781992,Mb/s,41.656456,Mb/s,21.929,ms
0.0,32.392,ms,33.219,ms,34.021,ms,0.488,ms,945.85712,Mb/s,41.672056,Mb/s,19.799,ms
0.0,32.925,ms,33.626,ms,35.149,ms,0.64,ms,948.837984,Mb/s,41.653768,Mb/s,20.16,ms
0.0,31.452,ms,33.715,ms,37.583,ms,1.955,ms,950.799064,Mb/s,41.714816,Mb/s,19.917,ms
0.0,31.257,ms,32.545,ms,33.349,ms,0.642,ms,950.183848,Mb/s,41.769656,Mb/s,19.662,ms
0.0,32.805,ms,33.939,ms,35.251,ms,0.928,ms,949.921264,Mb/s,41.715072,Mb/s,21.313,ms
0.0,32.894,ms,33.635,ms,35.081,ms,0.674,ms,946.848016,Mb/s,41.668488,Mb/s,19.807,ms
