Packet Loss (%),Average RTT,Average RTT Unit,Minimum RTT,Minimum RTT Unit,Maximum RTT,Maximum RTT Unit,RTT Standard Deviation,RTT Standard Deviation Unit,Download Speed,Download Speed Unit,Upload Speed,Upload Speed Unit,Latency,Latency Unit
0.0,32.277,ms,35.189,ms,40.17,ms,2.24,ms,916.3587533778821,Mb/s,39.39122596520624,Mb/s,11.09,ms
0.0,32.845,ms,34.531,ms,37.331,ms,1.436,ms,916.5899919301203,Mb/s,39.09750484345582,Mb/s,10.0,ms
0.0,32.587,ms,33.611,ms,34.748,ms,0.633,ms,914.4955898728108,Mb/s,40.55115749589749,Mb/s,8.056,ms
0.0,32.752,ms,33.966,ms,35.674,ms,0.904,ms,916.4423163040365,Mb/s,40.454671699900246,Mb/s,10.913,ms
0.0,31.502,ms,32.978,ms,35.444,ms,1.042,ms,916.7225716021875,Mb/s,39.95470697472455,Mb/s,10.594,ms
0.0,31.901,ms,33.483,ms,36.213,ms,1.442,ms,881.3196879088744,Mb/s,39.45767695858014,Mb/s,15.956,ms
0.0,33.276,ms,35.074,ms,43.151,ms,2.766,ms,916.8730146510648,Mb/s,40.41844861302481,Mb/s,11.29,ms
0.0,33.373,ms,34.625,ms,36.964,ms,1.181,ms,916.604466306653,Mb/s,39.63738877327729,Mb/s,11.639,ms
0.0,31.905,ms,33.684,ms,36.348,ms,1.371,ms,880.6899387757077,Mb/s,39.72030318787248,Mb/s,16.227,ms
0.0,33.159,ms,34.315,ms,36.353,ms,0.972,ms,915.6560898531827,Mb/s,40.639524659887485,Mb/s,11.334,ms
0.0,33.192,ms,34.173,ms,35.638,ms,0.757,ms,916.4888559667315,Mb/s,39.742697065720556,Mb/s,9.821,ms
0.0,33.117,ms,34.628,ms,38.032,ms,1.605,ms,916.7294633683431,Mb/s,39.44335201367287,Mb/s,10.387,ms
0.0,31.631,ms,32.759,ms,37.174,ms,1.657,ms,917.4885858837519,Mb/s,40.43599812149857,Mb/s,11.526,ms
0.0,31.354,ms,33.745,ms,37.248,ms,1.606,ms,916.1592996917998,Mb/s,39.91721047540679,Mb/s,9.909,ms
0.0,32.68,ms,34.319,ms,38.33,ms,1.523,ms,918.1329331183631,Mb/s,40.523458668042,Mb/s,8.851,ms
0.0,31.514,ms,33.616,ms,34.646,ms,0.923,ms,916.9679785197751,Mb/s,40.07888938408967,Mb/s,10.706,ms
