TestName,TestStartTime,TestEndTime,MurakamiLocation,MurakamiConnectionType,MurakamiNetworkType,DownloadValue,DownloadUnit,UploadValue,UploadUnit
speedtest-cli-single-stream,2023-05-10T08:31:11.139771,2023-05-10T08:31:32.858335,lanneremc2,wired,home,226155797.51670092,Bit/s,27094900.68186416,Bit/s
speedtest-cli-single-stream,2023-05-10T10:48:16.616384,2023-05-10T10:48:38.426413,lanneremc2,wired,home,218537484.22554633,Bit/s,26931792.739144213,Bit/s
speedtest-cli-single-stream,2023-05-11T04:36:58.893472,2023-05-11T04:37:21.867722,lanneremc2,wired,home,116438780.7792764,Bit/s,27138899.932782993,Bit/s
speedtest-cli-single-stream,2023-05-11T17:42:38.650686,2023-05-11T17:43:01.227861,lanneremc2,wired,home,43039208.748030886,Bit/s,26425242.310066868,Bit/s
speedtest-cli-single-stream,2023-05-12T01:20:32.658213,2023-05-12T01:20:55.612442,lanneremc2,wired,home,64068061.53783461,Bit/s,27111712.644297127,Bit/s
speedtest-cli-single-stream,2023-05-12T03:33:14.378721,2023-05-12T03:33:36.381381,lanneremc2,wired,home,125368774.5761141,Bit/s,25681873.10510063,Bit/s
speedtest-cli-single-stream,2023-05-12T03:42:57.038905,2023-05-12T03:43:20.234451,lanneremc2,wired,home,111534125.56159833,Bit/s,24254515.643689808,Bit/s
speedtest-cli-single-stream,2023-05-12T04:35:36.247440,2023-05-12T04:35:59.886515,lanneremc2,wired,home,187450864.50600705,Bit/s,25867047.341640882,Bit/s
speedtest-cli-single-stream,2023-05-12T05:29:47.084913,2023-05-12T05:30:10.203596,lanneremc2,wired,home,31707707.897111196,Bit/s,26752895.44761141,Bit/s
speedtest-cli-single-stream,2023-05-12T18:25:25.701717,2023-05-12T18:25:47.714773,lanneremc2,wired,home,207202419.29520407,Bit/s,26802269.034330294,Bit/s
speedtest-cli-single-stream,2023-05-12T21:11:09.953983,2023-05-12T21:11:33.217106,lanneremc2,wired,home,119488897.95826457,Bit/s,27101644.94830161,Bit/s
speedtest-cli-single-stream,2023-05-13T06:37:21.347817,2023-05-13T06:37:43.778222,lanneremc2,wired,home,134017622.22299115,Bit/s,26794251.844402283,Bit/s
speedtest-cli-single-stream,2023-05-14T09:22:09.779006,2023-05-14T09:22:32.142541,lanneremc2,wired,home,107158682.06083123,Bit/s,17092891.4194312,Bit/s
