TestName,TestStartTime,TestEndTime,MurakamiLocation,MurakamiConnectionType,MurakamiNetworkType,DownloadValue,DownloadUnit,UploadValue,UploadUnit
ndt7,2022-11-22T02:08:46.872316,2022-11-22T02:09:07.637228,dellemc2,wired,home,890.3928954629718,Mbit/s,39.73283376805312,Mbit/s
ndt7,2022-11-22T02:26:51.615403,2022-11-22T02:27:12.301372,dellemc2,wired,home,911.0073460981716,Mbit/s,32.9552705503537,Mbit/s
ndt7,2022-12-17T21:24:27.324690,2022-12-17T21:24:48.138663,dellemc2,wired,home,431.4510687224601,Mbit/s,11.72954325025375,Mbit/s
ndt7,2022-12-17T22:02:39.880610,2022-12-17T22:03:00.951049,dellemc2,wired,home,434.7427667467842,Mbit/s,11.571624584011861,Mbit/s
ndt7,2022-12-17T22:09:13.979595,2022-12-17T22:09:34.857119,dellemc2,wired,home,426.6446289364669,Mbit/s,11.649215562352618,Mbit/s
ndt7,2023-02-10T23:55:52.314711,2023-02-10T23:56:13.078043,dellemc2,wired,home,685.8142087008775,Mbit/s,37.174287293864,Mbit/s
ndt7,2023-02-10T23:59:25.780868,2023-02-10T23:59:46.479651,dellemc2,wired,home,512.397890460076,Mbit/s,26.98579629702121,Mbit/s
ndt7,2023-02-11T02:30:23.899529,2023-02-11T02:30:44.568613,dellemc2,wired,home,912.4260611170507,Mbit/s,39.78281768275677,Mbit/s
ndt7,2023-02-11T03:00:08.283949,2023-02-11T03:00:29.065003,dellemc2,wired,home,907.1382773526822,Mbit/s,29.163528995542904,Mbit/s
ndt7,2023-02-11T03:29:23.994778,2023-02-11T03:29:44.761155,dellemc2,wired,home,641.907074047432,Mbit/s,36.67961794043516,Mbit/s
ndt7,2023-02-11T03:40:24.204260,2023-02-11T03:40:44.735184,dellemc2,wired,home,780.7318351639085,Mbit/s,40.60855080601777,Mbit/s
ndt7,2023-02-11T04:01:23.959675,2023-02-11T04:01:44.420443,dellemc2,wired,home,907.9228567669392,Mbit/s,38.69142963544647,Mbit/s
ndt7,2023-02-11T04:13:24.006994,2023-02-11T04:13:44.597669,dellemc2,wired,home,911.4843751563465,Mbit/s,40.60349687580375,Mbit/s
ndt7,2023-02-11T04:14:12.861613,2023-02-11T04:14:33.607254,dellemc2,wired,home,914.4155994533226,Mbit/s,40.633438977163195,Mbit/s
ndt7,2023-02-11T04:20:23.900304,2023-02-11T04:20:44.480874,dellemc2,wired,home,901.8750078107373,Mbit/s,40.767224543054574,Mbit/s
