TestName,TestStartTime,TestEndTime,MurakamiLocation,MurakamiConnectionType,MurakamiNetworkType,DownloadValue,DownloadUnit,UploadValue,UploadUnit
speedtest-cli-multi-stream,2023-04-29T08:11:51.697335,2023-04-29T08:12:11.269871,td_lanneremc2,wired,home,619450897.1690539,Bit/s,41668059.169665106,Bit/s
speedtest-cli-multi-stream,2023-04-29T09:12:51.728552,2023-04-29T09:13:07.879872,td_lanneremc2,wired,home,744434382.5789856,Bit/s,41414864.63506159,Bit/s
speedtest-cli-multi-stream,2023-04-29T20:13:31.551055,2023-04-29T20:13:53.477249,td_lanneremc2,wired,home,328173099.9935877,Bit/s,42979547.48990659,Bit/s
speedtest-cli-multi-stream,2023-04-30T18:19:57.556101,2023-04-30T18:20:14.349553,td_lanneremc2,wired,home,689302176.085158,Bit/s,40299874.133264616,Bit/s
speedtest-cli-multi-stream,2023-05-01T01:56:58.706662,2023-05-01T01:57:17.683378,td_lanneremc2,wired,home,484379248.50914747,Bit/s,41080765.89919485,Bit/s
speedtest-cli-multi-stream,2023-05-01T05:48:54.039918,2023-05-01T05:49:13.396170,td_lanneremc2,wired,home,437690406.9244957,Bit/s,41605770.43010422,Bit/s
speedtest-cli-multi-stream,2023-05-01T07:39:57.507842,2023-05-01T07:40:15.834452,td_lanneremc2,wired,home,514443580.4631035,Bit/s,41716555.04613534,Bit/s
speedtest-cli-multi-stream,2023-05-01T08:19:36.401636,2023-05-01T08:19:52.751739,td_lanneremc2,wired,home,716473428.1492633,Bit/s,42891066.93874578,Bit/s
speedtest-cli-multi-stream,2023-05-01T10:03:09.672942,2023-05-01T10:03:27.985169,td_lanneremc2,wired,home,521617931.99460894,Bit/s,42097957.59812333,Bit/s
speedtest-cli-multi-stream,2023-05-01T15:51:19.449669,2023-05-01T15:51:37.409032,td_lanneremc2,wired,home,673786044.5135624,Bit/s,40591214.25229314,Bit/s
speedtest-cli-multi-stream,2023-05-01T17:16:02.068743,2023-05-01T17:16:21.764987,td_lanneremc2,wired,home,424263627.4003782,Bit/s,40410052.8784555,Bit/s
speedtest-cli-multi-stream,2023-05-02T01:28:07.570342,2023-05-02T01:28:28.186037,td_lanneremc2,wired,home,387118715.3711575,Bit/s,41647370.47423777,Bit/s
speedtest-cli-multi-stream,2023-05-02T05:29:11.633481,2023-05-02T05:29:30.406466,td_lanneremc2,wired,home,473123074.2019382,Bit/s,42745850.20130192,Bit/s
speedtest-cli-multi-stream,2023-05-02T07:17:01.104500,2023-05-02T07:17:17.369834,td_lanneremc2,wired,home,811242279.830766,Bit/s,41668989.53848451,Bit/s
speedtest-cli-multi-stream,2023-05-02T07:47:24.489169,2023-05-02T07:47:41.115635,td_lanneremc2,wired,home,729490962.4592295,Bit/s,40456343.849059045,Bit/s
speedtest-cli-multi-stream,2023-05-02T09:19:05.010226,2023-05-02T09:19:22.270962,td_lanneremc2,wired,home,645877799.8970307,Bit/s,43033813.91130204,Bit/s
speedtest-cli-multi-stream,2023-05-02T23:06:44.158449,2023-05-02T23:07:06.125629,td_lanneremc2,wired,home,280236862.4434722,Bit/s,42081663.77803331,Bit/s
speedtest-cli-multi-stream,2023-05-03T04:52:51.693211,2023-05-03T04:53:13.834208,td_lanneremc2,wired,home,473514911.30182564,Bit/s,38088283.412991144,Bit/s
speedtest-cli-multi-stream,2023-05-03T11:19:08.270637,2023-05-03T11:19:26.904174,td_lanneremc2,wired,home,480650446.2559021,Bit/s,42044979.20972785,Bit/s
speedtest-cli-multi-stream,2023-05-03T12:11:08.928137,2023-05-03T12:11:26.710791,td_lanneremc2,wired,home,540395135.0147519,Bit/s,43355415.876969665,Bit/s
speedtest-cli-multi-stream,2023-05-04T02:46:27.078700,2023-05-04T02:46:46.163013,td_lanneremc2,wired,home,456780746.16573185,Bit/s,40706637.84316333,Bit/s
speedtest-cli-multi-stream,2023-05-04T03:50:19.081824,2023-05-04T03:50:37.597574,td_lanneremc2,wired,home,481120222.0563142,Bit/s,41512594.864062674,Bit/s
speedtest-cli-multi-stream,2023-05-04T05:57:12.048308,2023-05-04T05:57:34.126882,td_lanneremc2,wired,home,295560174.82323617,Bit/s,42179881.42001555,Bit/s
speedtest-cli-multi-stream,2023-05-04T16:15:54.320777,2023-05-04T16:16:13.937053,td_lanneremc2,wired,home,442575439.5364948,Bit/s,40020162.836249456,Bit/s
speedtest-cli-multi-stream,2023-05-04T19:47:34.294855,2023-05-04T19:47:53.348350,td_lanneremc2,wired,home,449244646.32950383,Bit/s,41135677.20358298,Bit/s
speedtest-cli-multi-stream,2023-05-05T05:38:23.783811,2023-05-05T05:38:46.014002,td_lanneremc2,wired,home,366358064.14942884,Bit/s,40378786.77943632,Bit/s
speedtest-cli-multi-stream,2023-05-05T06:10:29.335783,2023-05-05T06:10:54.067492,td_lanneremc2,wired,home,268891330.96155983,Bit/s,15600529.657862922,Bit/s
speedtest-cli-multi-stream,2023-05-05T06:10:29.343006,2023-05-05T06:10:54.181695,td_lanneremc2,wired,home,297596199.94698554,Bit/s,12873197.695022942,Bit/s
speedtest-cli-multi-stream,2023-05-05T06:10:29.517581,2023-05-05T06:10:54.599838,td_lanneremc2,wired,home,280321503.3564153,Bit/s,13050069.585794427,Bit/s
speedtest-cli-multi-stream,2023-05-05T07:24:04.117024,2023-05-05T07:24:26.379316,td_lanneremc2,wired,home,425347264.01997566,Bit/s,40830621.5645227,Bit/s
speedtest-cli-multi-stream,2023-05-05T07:30:21.073912,2023-05-05T07:30:40.815070,td_lanneremc2,wired,home,421253414.1869659,Bit/s,41146411.14109381,Bit/s
