TestName,TestStartTime,TestEndTime,MurakamiLocation,MurakamiConnectionType,MurakamiNetworkType,DownloadValue,DownloadUnit,UploadValue,UploadUnit
ndt5,2023-02-27T20:29:48.675193,2023-02-27T20:30:09.425147,dellemc2,wired,home,918.265061896962,Mbit/s,39.066,Mbit/s
ndt5,2023-02-27T23:10:29.662353,2023-02-27T23:10:50.587406,dellemc2,wired,home,920.028525188926,Mbit/s,39.169,Mbit/s
ndt5,2023-02-28T00:51:59.642428,2023-02-28T00:52:20.319403,dellemc2,wired,home,920.3384506893032,Mbit/s,39.685,Mbit/s
ndt5,2023-02-28T03:15:22.339133,2023-02-28T03:15:43.155753,dellemc2,wired,home,912.9425493308952,Mbit/s,38.353,Mbit/s
ndt5,2023-02-28T10:20:52.931406,2023-02-28T10:21:13.998821,dellemc2,wired,home,504.2874866603813,Mbit/s,35.252,Mbit/s
ndt5,2023-02-28T12:01:44.304392,2023-02-28T12:02:05.188595,dellemc2,wired,home,920.2759453513567,Mbit/s,40.217,Mbit/s
ndt5,2023-02-28T12:50:57.596800,2023-02-28T12:51:18.548417,dellemc2,wired,home,919.9677522252352,Mbit/s,39.905,Mbit/s
ndt5,2023-02-28T13:13:01.290810,2023-02-28T13:13:22.284423,dellemc2,wired,home,688.1320528668931,Mbit/s,39.225,Mbit/s
ndt5,2023-02-28T16:12:55.685285,2023-02-28T16:13:16.540935,dellemc2,wired,home,670.0434624949082,Mbit/s,39.339,Mbit/s
ndt5,2023-03-01T07:14:05.184215,2023-03-01T07:14:25.898514,dellemc2,wired,home,917.1484794609855,Mbit/s,36.011,Mbit/s
ndt5,2023-03-01T09:41:25.648782,2023-03-01T09:41:46.629149,dellemc2,wired,home,698.9498632168335,Mbit/s,39.069,Mbit/s
ndt5,2023-03-01T09:55:08.291217,2023-03-01T09:55:29.184371,dellemc2,wired,home,668.4181531507924,Mbit/s,40.027,Mbit/s
ndt5,2023-03-01T18:59:58.188853,2023-03-01T19:00:19.032912,dellemc2,wired,home,706.2448229677483,Mbit/s,39.741,Mbit/s
ndt5,2023-03-01T19:10:06.790711,2023-03-01T19:10:27.490554,dellemc2,wired,home,920.336806274555,Mbit/s,39.439,Mbit/s
ndt5,2023-03-02T02:37:22.375747,2023-03-02T02:37:43.130631,dellemc2,wired,home,918.5851403241338,Mbit/s,40.241,Mbit/s
ndt5,2023-03-02T06:37:32.917400,2023-03-02T06:37:53.734720,dellemc2,wired,home,920.2784795851644,Mbit/s,40.003,Mbit/s
ndt5,2023-03-02T08:56:48.330326,2023-03-02T08:57:09.314956,dellemc2,wired,home,921.0039054796181,Mbit/s,39.71,Mbit/s
ndt5,2023-03-02T10:17:43.999086,2023-03-02T10:18:04.926012,dellemc2,wired,home,920.9068983350861,Mbit/s,39.795,Mbit/s
ndt5,2023-03-02T10:21:48.552356,2023-03-02T10:22:09.264310,dellemc2,wired,home,919.9053924404988,Mbit/s,39.611,Mbit/s
ndt5,2023-03-02T14:03:53.956787,2023-03-02T14:04:14.883508,dellemc2,wired,home,920.3273100072643,Mbit/s,39.504,Mbit/s
ndt5,2023-03-02T15:52:37.965674,2023-03-02T15:52:58.711167,dellemc2,wired,home,920.491644702249,Mbit/s,39.52,Mbit/s
ndt5,2023-03-02T18:30:16.566911,2023-03-02T18:30:37.345906,dellemc2,wired,home,919.9518907724241,Mbit/s,39.437,Mbit/s
ndt5,2023-03-03T00:36:54.443383,2023-03-03T00:37:15.395502,dellemc2,wired,home,695.037808728436,Mbit/s,39.572,Mbit/s
ndt5,2023-03-03T03:45:19.200809,2023-03-03T03:45:40.075259,dellemc2,wired,home,920.076940079066,Mbit/s,38.747,Mbit/s
ndt5,2023-03-03T03:56:11.554247,2023-03-03T03:56:32.285347,dellemc2,wired,home,918.1695816148364,Mbit/s,38.948,Mbit/s
ndt5,2023-03-03T10:23:41.461236,2023-03-03T10:24:02.092580,dellemc2,wired,home,920.0399125525871,Mbit/s,39.752,Mbit/s
ndt5,2023-03-03T11:43:15.787700,2023-03-03T11:43:36.548320,dellemc2,wired,home,919.7619226997361,Mbit/s,40.157,Mbit/s
ndt5,2023-03-03T14:59:34.942493,2023-03-03T14:59:55.927595,dellemc2,wired,home,678.6625231569119,Mbit/s,39.771,Mbit/s
ndt5,2023-03-03T19:37:07.665972,2023-03-03T19:37:28.603220,dellemc2,wired,home,659.4282755446852,Mbit/s,39.314,Mbit/s
ndt5,2023-03-03T19:41:19.679015,2023-03-03T19:41:40.465486,dellemc2,wired,home,907.0266810602449,Mbit/s,39.795,Mbit/s
ndt5,2023-03-04T00:39:44.121870,2023-03-04T00:40:04.956863,dellemc2,wired,home,920.2269389785157,Mbit/s,39.711,Mbit/s
ndt5,2023-03-04T01:00:46.667129,2023-03-04T01:01:07.335279,dellemc2,wired,home,918.0030075538998,Mbit/s,5.034,Mbit/s
ndt5,2023-03-04T01:20:12.794195,2023-03-04T01:20:33.651297,dellemc2,wired,home,692.8811802223344,Mbit/s,36.943,Mbit/s
ndt5,2023-03-04T03:50:46.596805,2023-03-04T03:51:07.378044,dellemc2,wired,home,920.2886585571973,Mbit/s,39.616,Mbit/s
ndt5,2023-03-04T04:44:55.333566,2023-03-04T04:45:16.076216,dellemc2,wired,home,920.5865426994009,Mbit/s,39.42,Mbit/s
ndt5,2023-03-08T01:44:57.756624,2023-03-08T01:45:18.680966,dellemc2,wired,home,198.2876067475693,Mbit/s,13.638,Mbit/s
ndt5,2023-03-08T01:44:57.757018,2023-03-08T01:45:18.663931,dellemc2,wired,home,718.9705537981013,Mbit/s,26.495,Mbit/s
ndt5,2023-03-08T11:02:38.543654,2023-03-08T11:02:59.178335,dellemc2,wired,home,920.521842270167,Mbit/s,39.465,Mbit/s
ndt5,2023-03-08T11:12:00.397430,2023-03-08T11:12:21.221518,dellemc2,wired,home,920.2914262153585,Mbit/s,39.503,Mbit/s
ndt5,2023-03-08T13:18:15.049872,2023-03-08T13:18:35.831229,dellemc2,wired,home,920.2370635789788,Mbit/s,39.01,Mbit/s
ndt5,2023-03-08T13:25:19.704624,2023-03-08T13:25:40.410398,dellemc2,wired,home,920.0124321576117,Mbit/s,39.263,Mbit/s
ndt5,2023-03-08T17:32:26.936049,2023-03-08T17:32:47.545116,dellemc2,wired,home,919.952537293769,Mbit/s,40.222,Mbit/s
ndt5,2023-03-09T01:33:11.272510,2023-03-09T01:33:32.156016,dellemc2,wired,home,723.8280484578561,Mbit/s,38.861,Mbit/s
ndt5,2023-03-10T00:48:00.356696,2023-03-10T00:48:21.383693,dellemc2,wired,home,215.32300932480086,Mbit/s,14.407,Mbit/s
ndt5,2023-03-10T00:48:00.356899,2023-03-10T00:48:21.281915,dellemc2,wired,home,705.4250387655022,Mbit/s,25.241,Mbit/s
ndt5,2023-03-10T04:35:25.794988,2023-03-10T04:35:46.678810,dellemc2,wired,home,648.4633147196407,Mbit/s,39.925,Mbit/s
ndt5,2023-03-10T09:26:26.685306,2023-03-10T09:26:47.627595,dellemc2,wired,home,667.3322604080084,Mbit/s,37.574,Mbit/s
ndt5,2023-03-10T10:01:14.647632,2023-03-10T10:01:35.415104,dellemc2,wired,home,920.799233987844,Mbit/s,39.243,Mbit/s
ndt5,2023-03-10T12:18:13.100528,2023-03-10T12:18:33.877743,dellemc2,wired,home,920.5223624741125,Mbit/s,39.592,Mbit/s
ndt5,2023-03-10T19:19:30.508494,2023-03-10T19:19:51.365831,dellemc2,wired,home,917.5197337698357,Mbit/s,39.488,Mbit/s
ndt5,2023-03-11T00:22:34.436742,2023-03-11T00:22:55.254763,dellemc2,wired,home,99.70635161834957,Mbit/s,39.522,Mbit/s
ndt5,2023-03-11T02:52:25.623848,2023-03-11T02:52:46.409958,dellemc2,wired,home,919.7270611279723,Mbit/s,39.472,Mbit/s
ndt5,2023-03-11T03:00:08.312655,2023-03-11T03:00:29.093154,dellemc2,wired,home,709.3776150264326,Mbit/s,39.737,Mbit/s
ndt5,2023-03-11T06:56:34.019598,2023-03-11T06:56:54.815277,dellemc2,wired,home,921.2207517555997,Mbit/s,35.472,Mbit/s
ndt5,2023-03-11T09:05:52.214347,2023-03-11T09:06:12.902400,dellemc2,wired,home,920.3970005921434,Mbit/s,35.583,Mbit/s
ndt5,2023-03-11T13:57:12.499535,2023-03-11T13:57:33.262534,dellemc2,wired,home,920.3066511705606,Mbit/s,38.447,Mbit/s
ndt5,2023-03-11T14:43:30.061935,2023-03-11T14:43:50.900389,dellemc2,wired,home,720.340223137273,Mbit/s,36.854,Mbit/s
ndt5,2023-03-11T18:55:47.261224,2023-03-11T18:56:07.908432,dellemc2,wired,home,920.700470775049,Mbit/s,40.519,Mbit/s
ndt5,2023-03-11T20:07:35.122016,2023-03-11T20:07:55.767657,dellemc2,wired,home,920.759248019647,Mbit/s,39.564,Mbit/s
ndt5,2023-03-11T22:16:36.025068,2023-03-11T22:16:56.810898,dellemc2,wired,home,920.1135146337645,Mbit/s,36.06,Mbit/s
ndt5,2023-03-11T22:24:26.797959,2023-03-11T22:24:47.639703,dellemc2,wired,home,919.3116332328567,Mbit/s,39.568,Mbit/s
ndt5,2023-03-12T04:10:04.704342,2023-03-12T04:10:25.357894,dellemc2,wired,home,918.3245857943197,Mbit/s,40.365,Mbit/s
ndt5,2023-03-12T04:46:31.118528,2023-03-12T04:46:51.885318,dellemc2,wired,home,920.3588569067842,Mbit/s,40.196,Mbit/s
ndt5,2023-03-12T10:42:44.430700,2023-03-12T10:43:05.607757,dellemc2,wired,home,919.8704635271973,Mbit/s,39.622,Mbit/s
ndt5,2023-03-12T12:09:49.031777,2023-03-12T12:10:09.743347,dellemc2,wired,home,921.0385842218253,Mbit/s,39.796,Mbit/s
ndt5,2023-03-12T15:30:00.556221,2023-03-12T15:30:21.271030,dellemc2,wired,home,920.5741485487445,Mbit/s,40.523,Mbit/s
ndt5,2023-03-12T15:32:47.943748,2023-03-12T15:33:08.799560,dellemc2,wired,home,728.4137073518962,Mbit/s,38.708,Mbit/s
ndt5,2023-03-12T15:38:48.405297,2023-03-12T15:39:09.283251,dellemc2,wired,home,715.2884752066067,Mbit/s,36.99,Mbit/s
ndt5,2023-03-13T01:24:50.401101,2023-03-13T01:25:11.258670,dellemc2,wired,home,919.0758119984058,Mbit/s,40.312,Mbit/s
ndt5,2023-03-13T01:28:07.104333,2023-03-13T01:28:27.857376,dellemc2,wired,home,919.9241249660244,Mbit/s,39.24,Mbit/s
ndt5,2023-03-13T09:05:14.950669,2023-03-13T09:05:35.986645,dellemc2,wired,home,920.820586452279,Mbit/s,40.229,Mbit/s
ndt5,2023-03-14T18:15:53.055793,2023-03-14T18:16:14.289056,dellemc2,wired,home,153.98536326069657,Mbit/s,15.667,Mbit/s
ndt5,2023-03-14T18:15:53.055856,2023-03-14T18:16:13.900000,dellemc2,wired,home,770.9496386431089,Mbit/s,23.933,Mbit/s
ndt5,2023-03-14T18:54:57.903793,2023-03-14T18:55:18.585939,dellemc2,wired,home,918.3738406238901,Mbit/s,37.013,Mbit/s
ndt5,2023-03-14T19:05:04.886216,2023-03-14T19:05:25.686453,dellemc2,wired,home,919.9633865827687,Mbit/s,37.964,Mbit/s
ndt5,2023-03-14T19:12:56.338810,2023-03-14T19:13:17.237712,dellemc2,wired,home,693.8596126023233,Mbit/s,37.403,Mbit/s
ndt5,2023-03-15T02:44:36.781203,2023-03-15T02:44:57.460232,dellemc2,wired,home,918.1366488332282,Mbit/s,40.023,Mbit/s
ndt5,2023-03-15T04:21:38.306457,2023-03-15T04:21:58.960167,dellemc2,wired,home,918.576650992686,Mbit/s,35.323,Mbit/s
ndt5,2023-03-15T06:25:07.503153,2023-03-15T06:25:28.177383,dellemc2,wired,home,920.9402443728954,Mbit/s,35.879,Mbit/s
ndt5,2023-03-15T07:58:22.532667,2023-03-15T07:58:43.283840,dellemc2,wired,home,911.4672315373242,Mbit/s,36.415,Mbit/s
ndt5,2023-03-15T08:36:24.279407,2023-03-15T08:36:45.050768,dellemc2,wired,home,917.1839111773019,Mbit/s,39.854,Mbit/s
ndt5,2023-03-15T10:18:32.128386,2023-03-15T10:18:52.935120,dellemc2,wired,home,916.3290519569258,Mbit/s,40.084,Mbit/s
ndt5,2023-03-15T21:35:26.003685,2023-03-15T21:35:47.080051,dellemc2,wired,home,920.1056032109767,Mbit/s,39.575,Mbit/s
ndt5,2023-03-15T23:32:30.001119,2023-03-15T23:32:50.780759,dellemc2,wired,home,920.1107548493097,Mbit/s,39.593,Mbit/s
ndt5,2023-03-16T01:53:52.785279,2023-03-16T01:54:13.562687,dellemc2,wired,home,921.3402307083124,Mbit/s,40.146,Mbit/s
ndt5,2023-03-16T05:22:21.869989,2023-03-16T05:22:42.554148,dellemc2,wired,home,919.962844552285,Mbit/s,39.378,Mbit/s
ndt5,2023-03-16T06:28:39.073040,2023-03-16T06:28:59.807020,dellemc2,wired,home,920.5112128153575,Mbit/s,40.459,Mbit/s
ndt5,2023-03-16T08:11:15.836906,2023-03-16T08:11:36.667813,dellemc2,wired,home,919.1291284502443,Mbit/s,40.058,Mbit/s
ndt5,2023-03-16T10:49:59.463816,2023-03-16T10:50:20.476888,dellemc2,wired,home,921.7734126127268,Mbit/s,40.092,Mbit/s
ndt5,2023-03-16T12:05:13.904966,2023-03-16T12:05:34.696405,dellemc2,wired,home,920.3875337622065,Mbit/s,39.988,Mbit/s
ndt5,2023-03-16T22:35:48.872541,2023-03-16T22:36:09.813752,dellemc2,wired,home,328.8595695843769,Mbit/s,35.232,Mbit/s
ndt5,2023-03-16T23:06:15.763991,2023-03-16T23:06:36.490117,dellemc2,wired,home,920.1571214563234,Mbit/s,40.265,Mbit/s
ndt5,2023-03-16T23:46:04.139693,2023-03-16T23:46:25.233543,dellemc2,wired,home,921.3407118177946,Mbit/s,39.441,Mbit/s
ndt5,2023-03-16T23:56:13.091971,2023-03-16T23:56:33.859044,dellemc2,wired,home,918.9150270255208,Mbit/s,39.667,Mbit/s
ndt5,2023-03-16T23:57:57.677354,2023-03-16T23:58:18.417682,dellemc2,wired,home,921.7071620110075,Mbit/s,40.225,Mbit/s
ndt5,2023-03-16T23:59:19.775019,2023-03-16T23:59:40.332653,dellemc2,wired,home,921.1094616565898,Mbit/s,40.115,Mbit/s
ndt5,2023-04-11T18:45:52.911042,2023-04-11T18:46:13.739532,dellemc2,wired,home,919.7763942630497,Mbit/s,39.493,Mbit/s
ndt5,2023-04-11T19:08:04.012519,2023-04-11T19:08:24.756338,dellemc2,wired,home,916.2907079068067,Mbit/s,39.513,Mbit/s
ndt5,2023-04-11T19:18:03.146264,2023-04-11T19:18:24.063491,dellemc2,wired,home,921.0072291253716,Mbit/s,40.028,Mbit/s
ndt5,2023-04-19T20:35:58.979092,2023-04-19T20:36:19.830111,dellemc2,wired,home,655.8033309648141,Mbit/s,38.979,Mbit/s
ndt5,2023-04-19T20:43:16.071401,2023-04-19T20:43:36.807854,dellemc2,wired,home,913.3580204093305,Mbit/s,39.589,Mbit/s
ndt5,2023-04-19T21:54:12.157840,2023-04-19T21:54:32.852103,dellemc2,wired,home,916.3080862682108,Mbit/s,38.392,Mbit/s
ndt5,2023-05-10T19:54:27.888276,2023-05-10T19:54:48.690303,dellemc2,wired,home,920.2211489218122,Mbit/s,39.71,Mbit/s
ndt5,2023-05-10T19:58:18.047118,2023-05-10T19:58:38.917945,dellemc2,wired,home,921.9599147938262,Mbit/s,39.919,Mbit/s
ndt5,2023-05-10T20:31:24.509173,2023-05-10T20:31:45.450055,dellemc2,wired,home,577.4629835139552,Mbit/s,40.08,Mbit/s
ndt5,2023-05-10T21:58:13.883063,2023-05-10T21:58:34.672979,dellemc2,wired,home,792.140266210746,Mbit/s,39.725,Mbit/s
ndt5,2023-05-12T00:23:15.432702,2023-05-12T00:23:36.356502,dellemc2,wired,home,620.0077990879892,Mbit/s,39.891,Mbit/s
ndt5,2023-05-12T06:00:20.748104,2023-05-12T06:00:41.562298,dellemc2,wired,home,676.1637259291949,Mbit/s,33.706,Mbit/s
ndt5,2023-05-12T06:08:01.576445,2023-05-12T06:08:22.428220,dellemc2,wired,home,831.930642906863,Mbit/s,34.876,Mbit/s
ndt5,2023-05-12T06:20:53.454698,2023-05-12T06:21:14.241874,dellemc2,wired,home,532.7572456041911,Mbit/s,35.281,Mbit/s
ndt5,2023-05-12T08:30:11.543481,2023-05-12T08:30:32.269316,dellemc2,wired,home,756.9813439326405,Mbit/s,35.428,Mbit/s
ndt5,2023-05-12T08:42:12.485739,2023-05-12T08:42:33.448885,dellemc2,wired,home,449.29615598063884,Mbit/s,34.398,Mbit/s
ndt5,2023-05-12T09:38:20.784450,2023-05-12T09:38:41.696435,dellemc2,wired,home,919.3370887046595,Mbit/s,23.221,Mbit/s
ndt5,2023-05-12T16:17:21.170182,2023-05-12T16:17:42.046238,dellemc2,wired,home,673.8705159500736,Mbit/s,36.044,Mbit/s
ndt5,2023-05-12T16:18:36.330319,2023-05-12T16:18:56.941762,dellemc2,wired,home,838.8769472224088,Mbit/s,39.56,Mbit/s
ndt5,2022-12-07T23:45:18.682479,2022-12-07T23:45:39.498893,lanner-nca-1513,wired,home,920.3135064976516,Mbit/s,17.282,Mbit/s
ndt5,2022-12-02T01:35:45.623239,2022-12-02T01:36:06.462818,lanneremc1,wired,home,825.8508649590932,Mbit/s,33.926,Mbit/s
ndt5,2022-12-02T01:35:52.956844,2022-12-02T01:36:13.650949,lanneremc1,wired,home,327.5046256619321,Mbit/s,28.727,Mbit/s
ndt5,2022-12-18T01:50:40.522854,2022-12-18T01:51:01.491325,lanneremc1,wired,home,28.72010001016691,Mbit/s,5.566,Mbit/s
ndt5,2022-12-18T01:50:40.525584,2022-12-18T01:51:01.401629,lanneremc1,wired,home,421.9324995093069,Mbit/s,5.5,Mbit/s
ndt5,2023-02-16T00:04:36.131498,2023-02-16T00:04:56.749734,td_lanneremc2,wired,home,920.1715979520932,Mbit/s,39.579,Mbit/s
ndt5,2023-02-17T10:40:55.555360,2023-02-17T10:41:16.270896,td_lanneremc2,wired,home,920.2845350462917,Mbit/s,39.498,Mbit/s
ndt5,2023-02-25T17:02:58.006580,2023-02-25T17:03:18.660854,td_lanneremc2,wired,home,921.1537948754544,Mbit/s,40.008,Mbit/s
ndt5,2023-03-05T00:59:16.525566,2023-03-05T00:59:37.289642,td_lanneremc2,wired,home,920.760330838758,Mbit/s,39.72,Mbit/s
ndt5,2023-03-06T02:11:33.024903,2023-03-06T02:11:53.529844,td_lanneremc2,wired,home,920.7131445279002,Mbit/s,40.071,Mbit/s
ndt5,2023-03-06T10:59:26.941772,2023-03-06T10:59:47.720818,td_lanneremc2,wired,home,920.9356963968079,Mbit/s,40.519,Mbit/s
ndt5,2023-03-07T02:25:19.418560,2023-03-07T02:25:40.048028,td_lanneremc2,wired,home,920.7984524648301,Mbit/s,39.586,Mbit/s
ndt5,2023-03-07T18:37:19.431205,2023-03-07T18:37:40.187906,td_lanneremc2,wired,home,920.89353727109,Mbit/s,39.662,Mbit/s
ndt5,2023-03-08T06:00:28.632699,2023-03-08T06:00:49.420491,td_lanneremc2,wired,home,919.186018884059,Mbit/s,39.929,Mbit/s
ndt5,2023-03-14T00:31:24.353898,2023-03-14T00:31:45.099942,td_lanneremc2,wired,home,920.039785940529,Mbit/s,39.945,Mbit/s
